sweep,maker_rebate,tie_rule,tick_size,seed,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread
rebate,0.05,split,,5,0.7749097980386532,0.6000012499999997,0.13647485560269926,0.2,1.0
tick_size,0.0,split,0.4,1,0.9086737763698997,0.9,0.1545482604276935,0.5,1.3
tick_size,0.0,split,0.3,11,0.9935460381206234,1.0000075000000002,0.15920315225808934,0.4,1.3
rebate,0.0,split,,11,0.9268902649968681,0.7999700000000003,0.14768390842906057,0.2,1.0
rebate,0.3,split,,16,0.9243073214003623,0.5999999999999998,0.20551611807725298,0.1,0.8
rebate,0.1,split,,4,1.0002076029835953,0.999903125,0.17715036251352959,0.1,1.0
rebate,0.1,split,,6,0.8990326268953814,0.6999918749999998,0.15971434560431305,0.1,1.0
rebate,0.1,split,,7,0.8429972768110805,0.6000012499999997,0.15005747836935696,0.1,1.0
baseline,0.0,split,,17,0.7629750617146999,0.5999762499999997,0.1229391368067417,0.2,1.0
rebate,0.4,split,,11,0.3354807651258782,0.2000718750000001,0.17288096791588256,0.1,0.8
rebate,0.4,split,,5,0.17143218725060327,0.15000749999999996,0.15704923025481954,0.1,0.8
rebate,0.0,split,,18,0.8434105568756362,0.6999924999999998,0.13508174419294763,0.2,1.0
rebate,0.1,split,,1,0.9600239993488119,0.7999868750000003,0.1702253102966805,0.1,1.0
tick_size,0.0,split,0.2,6,0.7200882107798859,0.7000087499999997,0.128930996723844,0.3,1.1
rebate,0.05,split,,15,0.6620508332774435,0.566663125,0.12070964033747655,0.2,1.0
rebate,0.3,split,,19,0.9232881069457188,0.5999906249999998,0.205394544319477,0.1,0.8
rebate,0.05,split,,8,0.934226506610156,0.7999656250000003,0.15872973106864688,0.2,1.0
baseline,0.0,split,,7,0.7608521152773813,0.5999987499999997,0.12261865509604013,0.2,1.0
rebate,0.1,split,,18,0.9574864925498178,0.7998418750000004,0.16978800837514668,0.1,1.0
rebate,0.05,split,,17,0.7121565297436382,0.5815187499999999,0.12770888131469815,0.2,1.0
rebate,0.4,split,,2,0.329628807117389,0.20001437500000008,0.17231621651606002,0.1,0.8
rebate,0.4,split,,10,0.32897946187580446,0.20000187500000008,0.17225355054449615,0.1,0.8
rebate,0.0,split,,14,0.7599277455053346,0.6000174999999996,0.12247911148784599,0.2,1.0
rebate,0.4,split,,1,0.38611454416812596,0.25000000000000006,0.17776745164507748,0.1,0.8
rebate,0.0,split,,0,0.9249443745564421,0.7999925000000003,0.14739015523480983,0.2,1.0
rebate,0.3,split,,12,0.9183029238958662,0.5999868749999998,0.20479990259926745,0.1,0.8
rebate,0.05,split,,14,1.0009608275725277,0.9999981250000001,0.16805181671577538,0.2,1.0
rebate,0.4,split,,7,0.5139732126085848,0.3333381249999999,0.19010663143352519,0.1,0.8
rebate,0.2,split,,17,0.9801885852354227,0.7999500000000003,0.19262624658550132,0.1,1.0
rebate,0.0,split,,5,0.8822925218590676,0.7999825000000004,0.1409513970651451,0.2,1.0
baseline,0.0,split,,14,0.7599277455053346,0.6000174999999996,0.12247911148784599,0.2,1.0
rebate,0.2,split,,9,0.5409202292774933,0.38473749999999995,0.1287182478635792,0.1,1.0
rebate,0.0,split,,19,0.7638716706164933,0.5999974999999996,0.12307448961151615,0.2,1.0
rebate,0.05,split,,1,0.7766213765532954,0.5999906249999998,0.1367139451937101,0.2,1.0
rebate,0.05,split,,10,0.7746153228329672,0.5999924999999997,0.136433720500869,0.2,1.0
rebate,0.1,split,,11,0.9595700942770938,0.7999606250000002,0.17014708644319765,0.1,1.0
rebate,0.2,split,,6,0.9374230212762551,0.7999918750000002,0.18640439707192852,0.1,1.0
