sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,taker_fee,tie_rule,tick_size,memory,priority_share,allocation_noise,maker_rebates,maker_costs,latency_cost,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude,fee_condition,net_fee,heterogeneity
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,0,50000,0.37238653166138475,0.6749539999999999,0.08733932950405077,0.2,1.0,0.5,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,1,50000,0.3808967229320374,0.6794910000000001,0.08839977772266722,0.2,1.0,-0.8823529411764705,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,2,50000,0.3671062261961214,0.676277,0.08668135480685459,0.2,1.0,-0.4999999999999999,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,3,50000,0.33721321278863653,0.652598,0.08295640999552442,0.2,1.0,-0.7142857142857143,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,4,50000,0.37261344280626674,0.6742619999999999,0.08736760472275286,0.2,1.0,0.14285714285714282,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.01,0,50000,0.32672935415554855,0.672718,0.08165002464434862,0.2,1.0,-0.3333333333333335,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.01,1,50000,0.36359399721960617,0.692486,0.08624369872568487,0.2,1.0,-0.846153846153846,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.01,2,50000,0.33465755066402836,0.676975,0.08263795095491834,0.2,1.0,-0.142857142857143,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.01,3,50000,0.31096454868932516,0.6607100000000001,0.07968558467563222,0.2,1.0,0.25000000000000006,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.01,4,50000,0.3241464152046264,0.665246,0.08132816665994043,0.2,1.0,0.0,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.03,0,50000,0.2614425770736305,0.67892,0.07351469087171303,0.2,1.0,0.0,,,
latency,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.03,1,50000,0.27409833328632344,0.686209,0.07509171466638093,0.2,1.0,-0.09090909090909079,,,
