suite,condition,condition_label,maker_rebates,taker_fees,n_makers,tie_rule,seed,periods,maker_rebate_a,maker_rebate_b,taker_fee_a,taker_fee_b,avg_profit,collusion_index,realized_spread,effective_spread,venue_a_flow_share,nash_spread,nash_effective_spread,nash_venue,monopoly_spread,monopoly_effective_spread,monopoly_venue
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,19,500000,0.2,0.0,0.2,0.0,0.1198928846969967,0.6330674349099992,0.39981,0.5248620000000002,0.62526,0.2,0.2,1,1.0,1.2,0
two_venue_routing,same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,"(0.2, 0.0)","(0.3, 0.0)",2,split,0,500000,0.2,0.0,0.3,0.0,0.11726101341677395,0.6125107062953042,0.5248619999999999,0.5250300000000001,0.00056,0.2,0.2,1,1.0,1.0,1
two_venue_routing,same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,"(0.2, 0.0)","(0.3, 0.0)",2,split,1,500000,0.2,0.0,0.3,0.0,0.12968268821874535,0.7121957513647774,0.5798659999999999,0.699878,0.40004,0.2,0.2,1,1.0,1.0,1
two_venue_routing,same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,"(0.2, 0.0)","(0.3, 0.0)",2,split,2,500000,0.2,0.0,0.3,0.0,0.11816611801952603,0.6197742512323856,0.5149,0.559948,0.15016,0.2,0.2,1,1.0,1.0,1
two_venue_routing,same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,"(0.2, 0.0)","(0.3, 0.0)",2,split,3,500000,0.2,0.0,0.3,0.0,0.12625984453650052,0.6847271263870743,0.5213660000000001,0.5856859999999998,0.2144,0.2,0.2,1,1.0,1.0,1
two_venue_routing,same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,"(0.2, 0.0)","(0.3, 0.0)",2,split,4,500000,0.2,0.0,0.3,0.0,0.12010430267209295,0.6353283554513618,0.49984799999999996,0.55449,0.18214,0.2,0.2,1,1.0,1.0,1
two_venue_routing,same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,"(0.2, 0.0)","(0.3, 0.0)",2,split,5,500000,0.2,0.0,0.3,0.0,0.13717840272515938,0.7723495269475353,0.5998419999999998,0.5999379999999999,0.00032,0.2,0.2,1,1.0,1.0,1
two_venue_routing,same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,"(0.2, 0.0)","(0.3, 0.0)",2,split,6,500000,0.2,0.0,0.3,0.0,0.1268042506268395,0.6890960336815177,0.5726109999999999,0.5998960000000001,0.09095,0.2,0.2,1,1.0,1.0,1
two_venue_routing,same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,"(0.2, 0.0)","(0.3, 0.0)",2,split,7,500000,0.2,0.0,0.3,0.0,0.12346116573643019,0.662267480102041,0.4499320000000001,0.5998839999999999,0.49984,0.2,0.2,1,1.0,1.0,1
two_venue_routing,same_net_maker_heavy_vs_neutral,same-net maker-heavy vs neutral,"(0.2, 0.0)","(0.3, 0.0)",2,split,8,500000,0.2,0.0,0.3,0.0,0.15717620250796338,0.9328336488086821,0.7992580000000001,0.7995160000000002,0.00086,0.2,0.2,1,1.0,1.0,1
