sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,13,500000,-1.898944633641474e-15,0.6000349999999998,0.13720290902350654,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,17,500000,0.8432791352872167,0.6000049999999998,0.1509020746589512,0.1,1.0,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,8,500000,0.7443665482236996,0.6999129999999999,0.14893015147870342,0.4,1.0,0.4285714285714285
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,0,500000,-6.241495044286846e-16,0.10012600000000003,0.13572561270539388,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,13,500000,0.8608020418972794,0.5999719999999997,0.164633263116481,0.1,1.0,0.8333333333333334
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,13,500000,-4.1950014725502466e-16,0.10001800000000001,0.1809674836071919,0.1,0.8,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,5,500000,-0.00028160906992514027,0.6000299999999997,0.13719467684896514,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,2,500000,0.8061344268941137,0.9164780000000001,0.14525155479094187,0.1,1.0,0.7647058823529411
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,4,500000,0.8432265734616551,0.5999369999999997,0.1508940788594825,0.1,1.0,0.33333333333333326
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,1,500000,0.4955144706080843,0.48000600000000004,0.17979610946943475,0.1,0.8,0.8518518518518519
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,11,500000,0.9994222912399335,0.9998410000000001,0.16550819876242961,0.4,1.0,0.6
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,6,500000,0.7722458398628604,0.5999279999999998,0.1371654823593603,0.2,1.0,0.6666666666666666
