sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,6,500000,0.6222130919095826,0.7999700000000002,0.23454622083840598,0.2,2.0,0.25000000000000006
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,14,500000,0.7799282955394495,1.1496020000000002,0.28253006188334867,0.2,2.0,0.6521739130434782
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,18,500000,0.7724491841661505,0.5999609999999997,0.13719082093252885,0.2,1.0,0.33333333333333326
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,10,500000,0.772483825176103,0.5999989999999998,0.13719513752144288,0.2,1.0,0.33333333333333326
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,8,500000,0.6603496411506491,0.6000279999999998,0.10975258151053946,0.3,1.0,0.33333333333333326
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,15,500000,0.7723279196262455,0.6000199999999998,0.13717571025390438,0.2,1.0,-0.6666666666666667
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,19,500000,0.5199399231060244,0.5499939999999999,0.11735642020142793,0.1,1.0,0.6363636363636364
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,17,500000,0.6402448774222236,0.3999930000000001,0.13404245867140738,0.1,1.0,0.7500000000000001
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,5,500000,0.7723390393879758,0.5999329999999997,0.1371770958786387,0.2,1.0,-0.3333333333333335
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,13,500000,0.6603697915877353,0.6000199999999997,0.10975480029260591,0.3,1.0,-0.3333333333333335
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,17,500000,0.7722747728959948,0.5999289999999998,0.13716908768178734,0.2,1.0,0.0
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,2,500000,0.7723130686188941,0.5999909999999997,0.13717385968159765,0.2,1.0,-0.3333333333333335
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,16,500000,0.785073620295802,0.799941,0.11230763461182548,0.4,1.5,0.5
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,15,500000,0.7723279196262455,0.6000199999999998,0.13717571025390438,0.2,1.0,-0.6666666666666667
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,14,500000,0.999602153961417,0.9996579999999999,0.18388454019566444,0.1,1.0,0.7
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,10,500000,0.640342691298841,0.40005700000000005,0.13405602524576346,0.1,1.0,0.7500000000000001
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,16,500000,0.8875792179821468,0.7999500000000002,0.13477302686776885,0.3,1.0,0.5
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,9,500000,0.9149536671208606,1.3497530000000002,0.1721439770918814,0.1,1.0,0.6923076923076923
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,19,500000,0.7852357949084289,0.7999920000000003,0.11232391079550785,0.4,1.5,0.0
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,14,500000,0.9587219452902168,0.7998620000000003,0.16846344261040613,0.1,1.0,0.5
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,5,500000,0.7850620254218881,0.7999100000000001,0.11230647092600228,0.4,1.5,0.0
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,4,500000,0.622236987344949,0.7998950000000001,0.2345534908716427,0.2,2.0,0.5
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,8,500000,0.9332489420322518,0.799884,0.1572279518688334,0.2,1.0,0.0
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,17,500000,0.8432791352872168,0.6000049999999998,0.1509020746589512,0.1,1.0,0.0
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,8,500000,0.9332489420322518,0.799884,0.1572279518688334,0.2,1.0,0.0
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,12,500000,0.8047015163136112,0.6000150000000001,0.15685224085188829,0.1,1.0,0.8333333333333334
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,0,500000,0.6601002716751613,0.6001079999999999,0.10972512322178056,0.3,1.0,0.33333333333333326
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,10,500000,0.772483825176103,0.5999989999999998,0.13719513752144288,0.2,1.0,0.33333333333333326
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,18,500000,0.6223023532160538,0.7999100000000003,0.2345733780194678,0.2,2.0,0.0
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,5,500000,0.7723390393879758,0.5999329999999997,0.1371770958786387,0.2,1.0,-0.3333333333333335
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,16,500000,0.6114833256873791,0.7994500000000003,0.11564087907749958,0.1,1.0,0.6363636363636364
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,6,500000,0.8431692169502772,0.5999329999999999,0.15088535368378125,0.1,1.0,0.33333333333333326
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,5,500000,0.6223337329502587,0.799954,0.23458292510271322,0.2,2.0,0.0
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,2,500000,0.7723130686188941,0.5999909999999997,0.13717385968159765,0.2,1.0,-0.3333333333333335
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,1,500000,0.8433166434284748,0.5999859999999998,0.15090778046488046,0.1,1.0,0.6666666666666666
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,2,500000,0.8088593510982197,0.7999140000000001,0.19204454291237869,0.2,1.5,0.5
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,4,500000,0.7723886186130344,0.5999759999999997,0.13718327390674895,0.2,1.0,0.0
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,9,500000,0.4599080999406984,0.6000239999999998,0.1851659660741735,0.2,2.0,0.0
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,1,500000,0.6315929985825021,0.5999949999999998,0.15938829998379148,0.2,1.5,0.6666666666666666
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,500000,0.7722839136209437,0.5999009999999998,0.13717022670031004,0.2,1.0,0.5
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,4,500000,0.7850052036244368,0.7999880000000001,0.11230076817143732,0.4,1.5,-0.8749999999999999
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,6,500000,0.6402268739978375,0.40004100000000015,0.13403996163515808,0.1,1.0,0.7500000000000001
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,11,500000,0.8433501763001716,0.5999659999999998,0.15091288154565216,0.1,1.0,0.0
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,3,500000,0.9200909800524585,0.9998829999999999,0.21253578135059284,0.2,1.5,0.6
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,13,500000,0.8608020418972794,0.5999719999999997,0.164633263116481,0.1,1.0,0.8333333333333334
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,10,500000,0.660270141475251,0.5999909999999997,0.10974382773247962,0.3,1.0,0.33333333333333326
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,16,500000,0.9692624471908405,0.799785,0.1796764881065447,0.1,1.0,0.875
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,3,500000,0.772457171198161,0.5999689999999998,0.1371918161902849,0.2,1.0,0.33333333333333326
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,17,500000,0.6602768360518685,0.5999799999999997,0.10974456487810469,0.3,1.0,0.33333333333333326
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,2,500000,0.501244898055233,0.9124069999999999,0.11476346042709609,0.1,1.0,-0.5
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,6,500000,0.7739343978675642,0.69999,0.12225949737280511,0.3,1.0,0.14285714285714296
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,12,500000,0.7723292613452633,0.5999549999999999,0.1371758774444524,0.2,1.0,0.33333333333333326
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,4,500000,0.7723886186130344,0.5999759999999997,0.13718327390674895,0.2,1.0,0.0
n_makers,3,0.5,0.2,1.0,2e-05,0.125,0.0,split,,9,1000000,0.2442513946913229,0.46110533333333326,0.04758167413405037,0.2,1.0,
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,8,500000,0.9378179838468915,1.4996239999999998,0.33056698877442947,0.2,2.0,0.6
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,12,500000,0.6315010470580182,0.6000099999999998,0.15937136055180914,0.2,1.5,0.33333333333333326
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,16,500000,0.631534730950898,0.5999679999999998,0.15937756584329876,0.2,1.5,0.5
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,8,500000,0.7850989949708322,0.8000270000000002,0.11231018126734069,0.4,1.5,0.0
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,7,500000,0.6316583179709089,0.5999809999999998,0.15940033320828947,0.2,1.5,0.33333333333333326
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,12,500000,0.8431530096594385,0.5999419999999999,0.15088288820154025,0.1,1.0,0.5
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,10,500000,0.9997529003059298,1.4996580000000002,0.22721120611697335,0.2,1.5,0.4666666666666666
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,9,500000,0.6314805788721396,0.5999139999999998,0.15936758987541808,0.2,1.5,0.33333333333333326
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,3,500000,0.8433317367449357,0.5999679999999998,0.15091007648733495,0.1,1.0,0.5
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,13,500000,0.6034170742024869,0.5999780000000001,0.15419769376759096,0.2,1.5,0.07692307692307715
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,2,500000,0.48621351535068325,0.6000259999999997,0.08231340873004836,0.4,1.5,0.0
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,5,500000,0.5694866588902677,0.666584,0.12422844591355996,0.1,1.0,0.15789473684210537
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,6,500000,0.808788842471274,0.7998700000000002,0.19203155371946407,0.2,1.5,0.625
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,7,500000,0.7851572630287587,0.7999720000000001,0.1123160291716351,0.4,1.5,0.25000000000000006
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,4,500000,0.6315346167489171,0.5999519999999998,0.15937754480485813,0.2,1.5,0.5
elasticity,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,6,500000,0.7722458398628604,0.5999279999999998,0.1371654823593603,0.2,1.0,0.6666666666666666
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,5,500000,0.6315359349617208,0.5999379999999999,0.15937778764777186,0.2,1.5,0.5
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,15,500000,0.631574406492292,0.5999919999999999,0.15938487492423656,0.2,1.5,0.0
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,17,500000,0.8087344737829728,0.7997940000000002,0.19202153784748566,0.2,1.5,0.5
elasticity,2,0.5,0.2,0.75,2e-05,0.125,0.0,split,,19,500000,0.6314921439938843,0.5999259999999997,0.1593697204175082,0.2,1.5,0.5
n_makers,3,0.5,0.2,1.0,2e-05,0.125,0.0,split,,8,1000000,0.21719626474935483,0.3666666666666667,0.04533412853928912,0.2,1.0,
elasticity,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,500000,0.7722839136209437,0.5999009999999998,0.13717022670031004,0.2,1.0,0.5
