sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,taker_fee,tie_rule,tick_size,memory,priority_share,allocation_noise,maker_rebates,maker_costs,latency_cost,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude,fee_condition,net_fee,heterogeneity
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,6,500000,0.8605509112539105,0.5999099999999998,0.13476179805275273,0.1,1.0,0.0,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,7,500000,0.8608199403029386,0.5999639999999997,0.13479234796788386,0.1,1.0,-0.3333333333333335,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,3,500000,0.969508136095917,0.7998960000000002,0.14713456591507346,0.1,1.0,0.875,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,11,500000,0.8607516553703872,0.5999989999999998,0.13478459379077282,0.1,1.0,0.8333333333333334,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,0,500000,0.9691418702751684,0.7996700000000001,0.14709297416213926,0.1,1.0,0.625,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,9,500000,0.8603158383424663,0.5997959999999999,0.13473510406739989,0.1,1.0,0.8333333333333334,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,4,500000,0.6401965291249723,0.4000480000000001,0.10973919288379881,0.1,1.0,0.7500000000000001,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,14,500000,0.9692927077375624,0.7997930000000002,0.1471101026904204,0.1,1.0,-1.4999999999999998,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,8,500000,0.5138965062865325,0.7899220000000001,0.09539704287170198,0.1,1.0,0.7500000000000001,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,10,500000,0.7504292658412027,0.499986,0.12225680302113426,0.1,1.0,0.6,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,15,500000,0.8605489936699976,0.6001599999999998,0.13476158029922014,0.1,1.0,-2.3333333333333335,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,16,500000,0.9694111534261449,0.7998580000000001,0.14712355293212076,0.1,1.0,0.875,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,0,500000,0.7565714322024529,0.899495,0.12972187781428912,0.1,1.0,0.8461538461538461,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,19,500000,0.9694192432581238,0.7998570000000002,0.14712447158265785,0.1,1.0,0.5,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,18,500000,0.7221691193299697,0.5498959999999999,0.11904768831537997,0.1,1.0,0.4545454545454546,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,2,500000,0.7342449746048682,0.8332110000000003,0.1278718967861095,0.1,1.0,0.8,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,13,500000,0.8608020418972793,0.5999719999999997,0.13479031549304202,0.1,1.0,0.8333333333333334,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,12,500000,0.8605011957621175,0.5998859999999998,0.13475615255067605,0.1,1.0,0.6666666666666666,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,4,500000,0.5509162349313008,0.874966,0.11268118913202697,0.1,1.0,0.8260869565217391,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,3,500000,0.5156205939659234,0.3001369999999999,0.10975657532448542,0.1,1.0,0.6666666666666666,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,17,500000,0.8604589652624217,0.5999379999999999,0.13475135701582094,0.1,1.0,0.8333333333333334,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,6,500000,0.5184999292707205,0.937268,0.10999515843442842,0.1,1.0,0.9,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,1,500000,5.780220897035292e-06,0.10012700000000002,0.06703248355545102,0.1,1.0,0.0,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,5,500000,0.33291309992246765,0.816587,0.09461734438248418,0.1,1.0,-0.5384615384615387,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,8,500000,0.6285102137800861,0.5999829999999999,0.11911066358599284,0.1,1.0,-1.1052631578947365,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,9,500000,0.5708859184565203,0.3666659999999998,0.11433588672563016,0.1,1.0,0.7647058823529412,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,10,500000,0.7118262268887622,0.699939,0.1260142685542655,0.1,1.0,0.33333333333333337,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,11,500000,0.2889532426339708,0.20008700000000004,0.09097480943802437,0.1,1.0,0.0,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,12,500000,0.49741177967089795,0.5499299999999999,0.10824778420326935,0.1,1.0,0.8974358974358975,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,15,500000,0.5156188584343129,0.3000699999999999,0.10975643151750039,0.1,1.0,0.0,net_fee_10_taker30_rebate20,0.09999999999999998,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.2,0.3,split,,1,0.7,12.0,,,0.0,14,500000,0.4746142419023784,0.6332880000000001,0.10635876924527028,0.1,1.0,0.7777777777777778,net_fee_10_taker30_rebate20,0.09999999999999998,
